,inf,500,200,100
0.0,-0.0,-0.0,-0.0,-0.0
200.0,36.20027060556673,35.870063918093294,31.79705217914004,25.613153687688033
400.0,72.40054121113346,65.33759431512638,51.22630737537607,35.35961483079146
600.0,108.60081181670017,93.22757834342674,62.12764541549174,43.81461037315076
800.0,144.80108242226692,116.04026603779599,70.71922966158292,52.218656727972146
1000.0,181.00135302783363,128.06576843844016,79.18617624793261,60.181195592895506
1200.0,217.20162363340035,140.09127083908436,87.62922074630151,66.00676429931455
1400.0,253.4018942389671,151.00964167254136,96.03326710112292,71.18446835921894
1600.0,289.60216484453383,159.62858540491726,104.43731345594429,76.28704730807753
1800.0,325.80243545010046,168.24752913729316,112.68708156817884,80.84297224431083
2000.0,362.00270605566726,176.79807415395726,120.36239118579101,85.3776890111659
